Year, Title
1968, Greetings
1970, Bloody Mama
1970, Hi
1971, Born to Win
1973, Mean Streets
1973, Bang the Drum Slowly
1974, The Godfather
1976, The Last Tycoon
1976, Taxi Driver
1977, Hello World
1977, New York
1978, The Deer Hunter
1980, Raging Bull
1981, True Confessions
1983, The King of Comedy
1984, Once Upon a Time in America
1984, Falling in Love
1985, Brazil
1986, The Mission
1987, Dear America: Letters Home From Vietnam
1987, The Untouchables
1987, Angel Heart
1988, Midnight Run
1989, Jacknife
1989, We're No Angels
1990, Awakenings
1990, Stanley & Iris
1990, Goodfellas
1991, Cape Fear
1991, Mistress
1991, Guilty by Suspicion
1991, Backdraft
1992, Thunderheart
1992, Night and the City
1993, This Boy's Life
1993, Mad Dog and Glory
1993, A Bronx Tale
1994, Mary Shelley's Frankenstein
1995, Casino
1995, Heat
1996, Sleepers
1996, The Fan
1996, Marvin's Room
1997, Wag the Dog
1997, Jackie Brown
1997, Cop Land
1998, Ronin
1998, Great Expectations
1999, Analyze This
1999, Flawless
2000, The Adventures of Rocky & Bullwinkle
2000, Meet the Parents
2000, Men of Honor
2001, The Score
2001, 15 Minutes
2002, City by the Sea
2002, Analyze That
2003, Godsend
2004, Shark Tale
2004, Meet the Fockers
2005, The Bridge of San Luis Rey
2005, Rent
2005, Hide and Seek
2006, The Good Shepherd
2007, Arthur and the Invisibles
2007, Captain Shakespeare
2008, Righteous Kill
2008, What Just Happened?
2009, Everybody's Fine
2010, Machete
2010, Little Fockers
2010, Stone
2011, Killer Elite
2011, New Year's Eve
2011, Limitless
2012, Silver Linings Playbook
2012, Being Flynn
2012, Red Lights
2013, Last Vegas
2013, The Big Wedding
2013, Grudge Match
2013, Killing Season
2014, The Bag Man
2015, Joy
2015, Heist
2015, The Intern
2016, Dirty Grandpa
